peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
机械设备-机器人-工业机器人,002747,埃斯顿,advance_to_deep_review,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,domestic robot and motion-control platform with autonomous core technology and all-chain robot strategy.,Retained. 埃斯顿: domestic robot and motion-control platform with autonomous core technology and all-chain robot strategy. triage 67.42; moat 59.17; technology 68.83; market 79.92; quality 66.67; governance 66.00.,"Directly retain industrial automation or robotics platforms with core controls, servos, robot bodies, broad installed base, and domestic-substitution relevance; current profit weakness alone should not exclude them.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002747;https://www.estun.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,300607,拓斯达,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"embodied-intelligence and industrial-equipment platform with robots, CNC, injection machinery, controls, servos, and vision.","Retained after boundary review. 拓斯达: embodied-intelligence and industrial-equipment platform with robots, CNC, injection machinery, controls, servos, and vision. triage 65.80; moat 59.67; technology 66.00; market 73.92; quality 60.50; governance 69.00.","Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300607;https://www.topstarltd.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,603666,亿嘉和,borderline,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,power-grid and industrial robot application specialist with single-champion evidence and service-robot expansion.,Retained after boundary review. 亿嘉和: power-grid and industrial robot application specialist with single-champion evidence and service-robot expansion. triage 64.13; moat 57.17; technology 72.50; market 58.92; quality 60.50; governance 70.00.,"Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=603666;https://www.yijiahe.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,300124,汇川技术,borderline,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"industrial automation leader across information, control, drive, execution, and sensing layers; stronger than the narrow robot peer label.","Retained. 汇川技术: industrial automation leader across information, control, drive, execution, and sensing layers; stronger than the narrow robot peer label. triage 62.76; moat 52.00; technology 60.67; market 76.25; quality 67.33; governance 68.50.","Directly retain industrial automation or robotics platforms with core controls, servos, robot bodies, broad installed base, and domestic-substitution relevance; current profit weakness alone should not exclude them.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300124;https://www.inovance.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,002527,新时达,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,elevator control plus robot and motion-control history provides a real but weaker automation niche.,Retained after boundary review. 新时达: elevator control plus robot and motion-control history provides a real but weaker automation niche. triage 57.71; moat 49.50; technology 58.33; market 65.25; quality 55.67; governance 65.50.,"Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002527;https://www.stepelectric.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,688255,凯尔达,reject,reject_for_now,,analyst_company_by_company_review,Rejected after company-by-company peer review.,welding robot and welding-equipment niche is useful but covered by stronger robot platforms.,Rejected for now. 凯尔达: welding robot and welding-equipment niche is useful but covered by stronger robot platforms. triage 57.52; moat 47.00; technology 57.67; market 59.25; quality 57.67; governance 70.50.,"Reject generic system integrators, small automation-line suppliers, and weaker robot followers when stronger retained companies cover the same thesis.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688255;https://www.kaierda.cn,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,688084,晶品特装,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"defense special robot and optoelectronic reconnaissance equipment niche is strategic, though disclosure and scale cap conviction.","Retained after boundary review. 晶品特装: defense special robot and optoelectronic reconnaissance equipment niche is strategic, though disclosure and scale cap conviction. triage 56.18; moat 43.67; technology 64.33; market 46.92; quality 57.83; governance 71.00.","Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688084;https://www.jp-tz.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,300024,机器人,reject,watch,direct_watch,analyst_company_by_company_review,Direct watch after peer-group company review.,"national robotics industrialization platform with industrial, mobile, and special robot history; current weakness does not erase strategic capability.","Retained. 机器人: national robotics industrialization platform with industrial, mobile, and special robot history; current weakness does not erase strategic capability. triage 55.55; moat 50.33; technology 56.83; market 60.58; quality 47.83; governance 66.00.","Directly retain industrial automation or robotics platforms with core controls, servos, robot bodies, broad installed base, and domestic-substitution relevance; current profit weakness alone should not exclude them.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=300024;https://www.siasun.com,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,688290,景业智能,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,nuclear and high-end industrial intelligent equipment/robot niche has demanding customer qualification and safety barriers.,Retained after boundary review. 景业智能: nuclear and high-end industrial intelligent equipment/robot niche has demanding customer qualification and safety barriers. triage 55.05; moat 42.83; technology 66.00; market 43.58; quality 50.17; governance 70.00.,"Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688290;https://www.boomy.cn,2026-06-09T15:43:46+00:00
机械设备-机器人-工业机器人,688165,埃夫特,reject,watch,boundary_judged_watch,analyst_company_by_company_review,Boundary watch after analyst judgment under calibrated peer-group rules.,"robot body and intelligent manufacturing platform with full-series products, retained below stronger control/automation leaders.","Retained after boundary review. 埃夫特: robot body and intelligent manufacturing platform with full-series products, retained below stronger control/automation leaders. triage 54.55; moat 47.83; technology 65.17; market 52.58; quality 39.67; governance 66.50.","Boundary-retain special-application robot companies when they hold a mission-critical power, nuclear, defense, welding, or industrial niche not covered by broader leaders.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=688165;https://www.efort.com.cn,2026-06-09T15:43:46+00:00
