peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,watch_selection_route,decision_source,reviewer_or_inferred_reason,capability_assessment,analyst_response,calibrated_standard_implication,applies_to_future_markets,source_urls,decided_at_utc
房地产-房地产开发-房地产开发,600641,先导基电,advance_to_deep_review,watch,boundary_judged_watch,analyst_company_by_company_review,boundary case retained because the company is misclassified and now has semiconductor equipment/materials exposure,"先导基电 is filed in a real-estate peer group, but the disclosed business scope and score evidence point to integrated-circuit equipment, electronic materials and semiconductor-related investment/exposure. It should be tracked as a semiconductor equipment/materials boundary case rather than rejected with property developers.","Watch. 先导基电: 先导基电 is filed in a real-estate peer group, but the disclosed business scope and score evidence point to integrated-circuit equipment, electronic materials and semiconductor-related investment/exposure. It should be tracked as a semiconductor equipment/materials boundary case rather than rejected with property developers. triage 80.05; moat 83.70; technology 98.00; market 78.04; quality 62.42; governance 71.48.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600641,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,600007,中国国贸,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"中国国贸: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 中国国贸: 中国国贸: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 49.45; moat 48.19; technology 36.00; market 66.93; quality 50.79; governance 71.93.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600007,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,001979,招商蛇口,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"招商蛇口: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 招商蛇口: 招商蛇口: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 48.98; moat 49.63; technology 35.65; market 78.93; quality 38.54; governance 69.04.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=001979,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,000031,大悦城,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"大悦城: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 大悦城: 大悦城: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 46.52; moat 49.01; technology 33.06; market 68.46; quality 43.04; governance 67.56.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000031,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,600638,新黄浦,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"新黄浦: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 新黄浦: 新黄浦: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 46.22; moat 44.20; technology 36.00; market 61.64; quality 43.48; governance 67.85.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600638,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,600094,大名城,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"大名城: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 大名城: 大名城: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 46.18; moat 43.95; technology 36.00; market 61.84; quality 40.32; governance 71.04.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600094,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,600376,首开股份,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"首开股份: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 首开股份: 首开股份: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 46.18; moat 51.77; technology 31.88; market 66.88; quality 37.65; governance 67.48.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600376,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,000002,万  科Ａ,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"万  科Ａ: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 万  科Ａ: 万  科Ａ: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 45.93; moat 49.88; technology 36.00; market 68.65; quality 31.83; governance 67.63.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000002,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,002146,荣盛发展,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"荣盛发展: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 荣盛发展: 荣盛发展: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 45.72; moat 51.64; technology 36.00; market 66.23; quality 31.41; governance 66.67.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=002146,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,000036,华联控股,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"华联控股: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 华联控股: 华联控股: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 45.69; moat 41.85; technology 36.00; market 55.37; quality 51.53; governance 71.70.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000036,2026-06-10T00:00:00+00:00
房地产-房地产开发-房地产开发,000517,荣安地产,reject,reject_for_now,,analyst_company_by_company_review,rejected because real-estate development lacks durable company-level moat,"荣安地产: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems.","Reject for now. 荣安地产: 荣安地产: The company is mainly exposed to property development, commercial leasing, industrial parks, or land-cycle economics. Real-estate development is capital, policy, and balance-sheet driven, and a well-funded entrant can compete more easily than in technology, resources, or regulated safety-critical systems. triage 45.57; moat 49.54; technology 35.12; market 63.17; quality 29.09; governance 70.07.","Real-estate development can be rejected as a group, but misclassified technology or strategic-material companies must be reviewed by their real business.",true,https://www.szse.cn/disclosure/listed/notice/index.html?stock=000517,2026-06-10T00:00:00+00:00
